,text,Date,geometry,author_followers,retweets,replies,likes,quote_count,Subjectivity,Polarity,Analysis,Place0,Place1,Place2,Place3
1034,"Even if Education is Free, a Rat will never go to the same School with a Cat",2017-10-17,POINT (27.8575825 -33.02201395),18259,21,11,100,0,0.0,0.0,Neutral,Eastern Cape,Buffalo City,Buffalo City,19
1035,"Markets Fell,we lost Billions because of Nhlanhla Nenes,Pravins removal? Can they also fall also for the student Fees?it's only fair🙌🏾🙌🏾",2017-10-17,POINT (27.8575825 -33.02201395),1560,0,0,0,0,0.4545454545454545,0.1363636363636363,Positive,Eastern Cape,Buffalo City,Buffalo City,19
1036,"#cabinetreshuffle:Can we all agree just as it happened When Pravin was Removed,That All Universities Fees Fall just as Rand Fell with Pravin",2017-10-17,POINT (27.8575825 -33.02201395),1560,0,0,0,0,0.6,0.4333333333333333,Positive,Eastern Cape,Buffalo City,Buffalo City,19
1037,"Wow, student accommodation zero vele https://t.co/sbPvJBDMpY",2017-10-17,POINT (27.968098050000002 -26.276138500000002),1565,0,0,0,0,1.0,0.6,Positive,Gauteng,City of Johannesburg,City of Johannesburg,125
1038,The other ones are being taken care of by their fathers. He won’t have to pay school fees for 8. Whew!!!!! https://t.co/4AoAnja5GH,2017-10-17,POINT (27.968098050000002 -26.276138500000002),498104,1,3,5,0,0.0,0.0,Neutral,Gauteng,City of Johannesburg,City of Johannesburg,125
1039,"#ChooseDay
I choose candidate number 33 for Wits SRC 
#MG https://t.co/lmQdGcevHh",2017-10-17,POINT (27.968098050000002 -26.276138500000002),9732,0,0,0,0,0.0,0.0,Neutral,Gauteng,City of Johannesburg,City of Johannesburg,125
1040,"Fumani from @KnowledgePele at #futuresthinking workshop @CentreforCST yes, #fees/Rhodes/mustfall but #Whatmustrise? Deconstruct #development",2017-10-17,POINT (18.83334435 -33.928147949999996),3420,0,0,3,0,0.0,0.0,Neutral,Western Cape,Cape Winelands,Stellenbosch,11
1041,"Parents of learners at Kwadedangendlale Secondary School in Zola North, up in arms accusing the Dept. of education of ignoring them. M.M https://t.co/UeYe0IIKMU",2017-10-17,POINT (27.875271750000007 -26.2564214),33444,1,1,2,0,0.0,0.0,Neutral,Gauteng,City of Johannesburg,City of Johannesburg,37
1042,A Teacher at Ngwana Makhutshwe Sec School in Ga-Sekororo village says #AgricultureTeachers should be well trained,2017-10-17,POINT (29.4770012 -23.9162345),47165,1,1,1,0,0.5,0.0,Neutral,Limpopo,Capricorn,Polokwane,22
1043,Registration this morning at the AMI Precious Metals 2017 Student Day. #AMI2017 #SAIMM https://t.co/DKfKPHUe6W,2017-10-17,POINT (18.4241 -33.9249),2617,0,0,1,0,0.5,0.0,Neutral,Western Cape,City of Cape Town,City of Cape Town,115
1044,"But it's OK for political parties/ affiliates to have school kids in uniform at their rallies, don't try us!! https://t.co/xrquD33AXi",2017-10-17,POINT (26.728864600000005 -27.951255250000003),1108,0,0,0,0,0.77,0.58,Positive,Free State,Lejweleputswa,Matjhabeng,34
1045,#MaritzburgCollege few years later these boys will be SRC members in tertiary or the school after high school.,2017-10-17,POINT (30.3537815 -29.6163998),12685,0,0,0,0,0.0,0.0,Neutral,KwaZulu-Natal,Umgungundlovu,The Msunduzi,26
1046,"Wits SRC elections

Too bad I can’t vote because I won’t be on campus😪@Mavumavu91",2017-10-17,POINT (28.184066 -25.75260515),1004,0,0,0,1,0.35,0.05,Positive,Gauteng,City of Tshwane,City of Tshwane,60
1047,"""Phvck your struggle.. you know what we call black power? When Eskom lights cut out"" (tips hat and bows head)🙌🔥🔥🔥 @TumiMolekane https://t.co/Ymi3EOgkmv",2017-10-17,POINT (25.6551647 -25.87331675),1895,0,0,0,0,0.4,0.2,Positive,North West,Ngaka Modiri Molema,Mafikeng,27
1048,I didn’t even know that... Also @CassperNyovest’s dad was my teacher in high school 💁🏽💁🏽💁🏽 https://t.co/S6enmdXsQT,2017-10-16,POINT (26.213109600000003 -29.10658805),5048,2,0,3,1,0.5888888888888889,0.0277777777777777,Positive,Free State,Mangaung,Mangaung,19
1049,"@AlexMthiyane When teachers union go to meetings / demonstrations during school hours, doesn't that violates the kids right to education?",2017-10-16,POINT (30.97257945 -29.9006358),1064,0,0,0,0,0.5,0.2,Positive,KwaZulu-Natal,eThekwini,eThekwini,64
1050,"Always maintain the conceptualisation of learner, not learned, for teacher and student.",2017-10-16,POINT (27.968098050000002 -26.276138500000002),689,0,0,0,0,0.2875,0.1,Positive,Gauteng,City of Johannesburg,City of Johannesburg,125
1051,You are invited by the PPS Foundation &amp; Black Management Forum Student Chapter to this Financial Education and Planning Workshop  💸 https://t.co/tf5UeAEPGb,2017-10-16,POINT (28.10355085 -25.9884044),328,3,0,4,0,0.0,0.0,Neutral,Gauteng,City of Johannesburg,City of Johannesburg,132
1052,Gauteng Education MEC has appointed an independent team to investigate the sexual assault of a matriculant at a Mamelodi school.,2017-10-16,POINT (27.968098050000002 -26.276138500000002),798024,3,0,3,0,0.0,0.0,Neutral,Gauteng,City of Johannesburg,City of Johannesburg,125
1053,The incoming SRC must ensure that mental health is a priority for UCT and it's management. https://t.co/8MdR0DZG8N,2017-10-16,POINT (18.4241 -33.9249),2421,0,0,5,0,0.0,0.0,Neutral,Western Cape,City of Cape Town,City of Cape Town,115
1054,@MohlalaLeonard School kids should get two things. A foundation in faith and wings in education. That is what I believe in any event.,2017-10-16,POINT (18.72331835 -33.4603017),144,0,1,1,0,0.3,-0.05,Negative,Western Cape,West Coast,Swartland,10
1055,"If you aren't deploying #DigitalSignage solutions in your school or university, read this article on the benefits:  https://t.co/KQXfXDVlhK https://t.co/xr7BXTidV4",2017-10-16,POINT (30.97257945 -29.9006358),1170,0,0,0,0,0.2,0.2,Positive,KwaZulu-Natal,eThekwini,eThekwini,64
1056,@Bukunolami_TA @GalieyM But then who gives a kid R700k for school fees? With crime the way it is 🤔🤔🤔🤔🤔,2017-10-16,POINT (25.6551647 -25.87331675),3119,0,0,0,0,0.0,0.0,Neutral,North West,Ngaka Modiri Molema,Mafikeng,27
1057,"@NCape_Education keynote address by MEC Bartlett at Tetlanyo High School, Human Trafficking and Illegal Drugs. @GeoffreyvdMerwe https://t.co/ZbKqNg5k9i",2017-10-16,POINT (24.726185999999995 -28.7168012),2115,0,0,0,0,0.0,0.0,Neutral,Nothern Cape,Frances Baard,Sol Plaatjie,11
1058,"Struggle heroes all: Pravin Gordhan, Barbara Hogan, Laloo Chiba, Derek Hanekom, the Timol family and others take the stake at the 2017 Ahmed Kathrada Lecture. #AKFLecture  #AKF https://t.co/o2jP1SBt7M",2017-10-16,POINT (28.06061305 -26.058708),1519,0,0,0,1,0.0,0.0,Neutral,Gauteng,City of Johannesburg,City of Johannesburg,106
1059,The past weekend @FJTballroom school of dance event I did my makeup in the car cause my car got… https://t.co/sHjXwsQ03B,2017-10-16,POINT (27.968098050000002 -26.276138500000002),7459,0,0,0,0,0.5357142857142857,0.2857142857142857,Positive,Gauteng,City of Johannesburg,City of Johannesburg,125
1060,Nope he would have commended the boys for getting such a well rounded education from his beloved school https://t.co/aDlCXeXA7h,2017-10-16,POINT (27.8575825 -33.02201395),292,0,0,0,0,0.0,0.0,Neutral,Eastern Cape,Buffalo City,Buffalo City,19
1061,#SexualAbuse Lesufi: Of great concern is that the school guard was not invited to the matric dance. TK,2017-10-16,POINT (28.38669405 -25.7108117),781577,2,1,0,0,0.0,0.0,Neutral,Gauteng,City of Tshwane,City of Tshwane,18
1062,"Msibi, a retired teacher also helps the kids she feeds with their school work. She hopes to buy them school uniform #WorldFoodDay2017",2017-10-16,POINT (28.8918218 -28.551940199999997),36225,0,0,1,0,0.611904761904762,-0.176984126984127,Negative,Free State,Thabo Mofutsanyane,Maluti a Phofung,31
1063,#MaritzburgCollege: a meeting is currently underway between the school's principal and KZN education department. More to follow. @TeamNews24,2017-10-16,POINT (18.4241 -33.9249),4042,0,0,1,0,0.1888888888888888,0.0,Neutral,Western Cape,City of Cape Town,City of Cape Town,115
1064,"@MGegana7 @EFFSouthAfrica should form learner association like COSAS,marching to the school will disrupt classes &amp; matric exams (16&amp;17) #maritzcollege",2017-10-16,POINT (28.1361401 -25.860880649999995),744,1,0,1,0,0.5333333333333333,0.2666666666666666,Positive,Gauteng,City of Tshwane,City of Tshwane,70
1065,The rioters who vandalise and burn down universities &amp; public infrastructure should see how other areas of public spending is affected...,2017-10-15,POINT (27.87429235 -26.14271175),679,0,1,0,0,0.5399999999999999,0.16,Positive,Gauteng,City of Johannesburg,City of Johannesburg,84
1066,"WITS SRC, @witssrc is now trending in #CapeTown

https://t.co/3HKSIbF4IN https://t.co/ywmngs27Aa",2017-10-15,POINT (18.4241 -33.9249),19434,1,0,0,0,0.0,0.0,Neutral,Western Cape,City of Cape Town,City of Cape Town,115
1067,@aviwe_ntsethe @Unathi_Kwaza How would you deal with protest marches at school as a direct influence of political activity ?,2017-10-15,POINT (18.4241 -33.9249),296,0,0,0,0,0.8466666666666667,0.0533333333333333,Positive,Western Cape,City of Cape Town,City of Cape Town,115
1068,"WITS SRC, @witssrc is now trending in #Johannesburg

https://t.co/Euo7lUOCmR https://t.co/52IiJb5cf0",2017-10-15,POINT (27.968098050000002 -26.276138500000002),64158,0,0,0,0,0.0,0.0,Neutral,Gauteng,City of Johannesburg,City of Johannesburg,125
1069,Back in high school I use to pretend as if I'm writting notes to avoid eye contact with a teacher during Q and A session.,2017-10-15,POINT (30.7123147 -23.306307850000003),1169,0,0,0,0,0.2142857142857142,-0.0714285714285714,Negative,Limpopo,Mopani,Greater Giyani,11
1070,I was honestly planning on going to my matric dance💀💀😂😂 until they decided to cancelled because people were owing school fees 💀,2017-10-15,POINT (28.184066 -25.75260515),34400,0,0,1,0,0.1,-0.1,Negative,Gauteng,City of Tshwane,City of Tshwane,60
1071,"Watch transformation agendas reprioritize themselves as we prepare for a DASO led SRC at this University 

No man these are lit times😂",2017-10-15,POINT (18.4241 -33.9249),1242,0,0,0,0,0.4111111111111111,0.0999999999999999,Positive,Western Cape,City of Cape Town,City of Cape Town,115
1072,"DASO won 9/15 SRC seats at UCT. All their candidates made it. 

What a time...",2017-10-15,POINT (18.52963285 -33.9458506),5370,1,0,1,1,0.1,0.1,Positive,Western Cape,City of Cape Town,City of Cape Town,51
1073,I could probably school Minnie on how to throw tantrums BECAUSE I THROW TANTRUMS BOY! 😭,2017-10-15,POINT (28.184066 -25.75260515),11189,0,0,1,1,0.0,0.0,Neutral,Gauteng,City of Tshwane,City of Tshwane,60
1074,#DASO-UCT has emerged victorious in the tightly contested CUT SRC election #UCTDecides,2017-10-15,POINT (28.06061305 -26.058708),2290,1,0,1,0,0.3,1.0,Positive,Gauteng,City of Johannesburg,City of Johannesburg,106
1075,UCT SRC 2017/8 Results https://t.co/GweDewpjCb,2017-10-14,POINT (18.595652049999998 -34.067997950000006),4882,1,0,1,0,0.0,0.0,Neutral,Western Cape,City of Cape Town,City of Cape Town,43
1076,UCT SRC results 💔 DASO has 9 seats 💔 https://t.co/X0pmpW8JL8,2017-10-14,POINT (18.4241 -33.9249),3007,2,0,3,0,0.0,0.0,Neutral,Western Cape,City of Cape Town,City of Cape Town,115
