,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
9366,8009288,710,SAF8218,8218,2016-10-10,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Durban,-29.8579,31.0292,1,Cape Times,National,Learning was interreupted at UKZNs Howard cakpus in Durban as student protests continued.,0,1622068027,ZAF
9367,8009289,710,SAF8221,8221,2016-10-10,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,KwaZulu-Natal,Umgungundlovu,The Msunduzi,Pietermaritzburg,-29.6167,30.3833,1,News24 (South Africa),National,"Police and protesting students continue to face off at the University of KwaZulu-Natals Pietermaritzburg campus. Police officers were firing teargas and students responding with bottles, stones and marbles fired from slingshots.",0,1622068027,ZAF
9368,8553752,710,SAF8220,8220,2016-10-10,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,North West,Ngaka Modiri Molema,Mafikeng,Mahikeng,-25.8556,25.6367,1,Cape Times,National,There were disruptions at the Mafikeng campus as students protested. University management said disruptions were perpetrated by non-students.,0,1632239612,ZAF
9369,8566134,710,SAF8219,8219,2016-10-10,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,Eastern Cape,Sarah Baartman,Makana,Makhanda,-33.3042,26.5328,1,Cape Times; Herald (South Africa),Subnational-National,"In Grahamstown, Rhodes University remained closed. Five students were arrested after violent protests ensued. The five were arrested hours after university toilets were vandalised and aerosol cans were thrown into lecture rooms, so preventing staff and students from attending class.",0,1632782395,ZAF
9371,7521691,710,SAF8209,8209,2016-10-07,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Bellville,-33.9,18.6333,1,Cape Argus,Subnational,Police officers used plastic shields and launched tear gas to hold back protesting CPUT students who were throwing rocks and faeces at the Bellville Campus.,0,1611019292,ZAF
9372,7734652,710,SAF8212,8212,2016-10-07,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,,,0,50,Southern Africa,South Africa,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,Gqeberha,-33.918,25.5701,1,African News Agency,National,A group of less than 100 students protested at the entrance of Nelson Mandela Metropolitan University's North Campus. As the protest continued and students burnt tyres police and private security guards kept a watchful eye.,0,1615249504,ZAF
9373,8009290,710,SAF8210,8210,2016-10-07,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Durban,-29.8579,31.0292,1,News24 (South Africa),National,Unconfirmed reports of running battles between police and students on Howard College Campus took place in ongoing protest action.,0,1622068027,ZAF
9374,8009291,710,SAF8213,8213,2016-10-07,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Westville,-29.8333,30.9333,1,IOL,National,"According to a student leader of the Westville campuss Students Representative Council, Ncebo Mazibuko was arrested after a skirmish during which the police fired rubber bullets.",0,1622068027,ZAF
9376,7522949,710,SAF8208,8208,2016-10-06,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Wynberg,-33.9833,18.4,1,GroundUp,National,Students at UCT protests at the Wynberg Magitrates court as students were in court.,0,1611019297,ZAF
9377,7524877,710,SAF8205,8205,2016-10-06,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Bellville,-33.9,18.6333,1,News24 (South Africa),National,A meeting at the Cape Peninsula of University of Technology's Bellville campus was disrupted when protesting students threw human faeces. Protesting students threw stones at police. Officers used stun grenades to disperse the crowd. No injuries were reported.,0,1611019302,ZAF
